date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Assam,18,Hojai,709,109,63,162,109423,0,1853,514,1897,1923,5090,60268,43731,1025,59740,528,117593,263,14869,4903,11902,32208,5437,534,4052,4452,6,76,3384,3198
01-04-2023,Assam,18,Jorhat,290,199,209,367,66588,0,1606,171,1597,1645,3626,33074,25777,72,30886,2188,69513,3283,4078,1140,2528,7795,1189,49,3532,3504,7,62,3451,3414
01-04-2023,Assam,18,Kamrup,291,488,246,718,151769,0,3113,1041,3191,3246,8205,84220,65050,2876,82614,1606,172574,2546,14763,5905,9425,31727,7539,1634,7513,7586,14,145,13500,13432
01-04-2023,Assam,18,Kamrup Metro,618,59,71,47,52823,0,960,376,993,1021,2363,29264,24641,1085,28448,816,61069,144,4572,2037,2690,9674,2412,375,2269,2532,6,51,2376,2353
01-04-2023,Assam,18,Karbi Anglong,292,73,46,187,65048,0,2188,530,2218,2218,3608,42392,28761,2549,40917,1475,80100,440,9031,8153,8851,27569,9687,1534,2803,2536,7,78,718,489
01-04-2023,Assam,18,Karimganj,293,79,52,404,129275,0,1306,62,1499,1570,4713,80133,58547,115,78907,1226,150753,620,10434,1517,5180,17164,1550,33,3741,3619,7,51,3142,3113
01-04-2023,Assam,18,Kokrajhar,294,74,53,135,72120,0,1656,342,1666,1687,4395,42702,31624,1957,41032,1670,86148,3435,10083,5801,7636,25105,7386,1585,3870,3557,5,76,1744,1561
01-04-2023,Assam,18,Lakhimpur,295,191,117,600,123321,0,2993,739,3016,3066,6217,70236,52742,2832,69223,1013,141347,1134,18276,5115,15330,39271,5665,550,5533,6619,10,112,5715,5659
01-04-2023,Assam,18,Majuli,706,85,41,134,17958,0,597,81,597,598,883,9497,6795,155,9310,187,18945,293,2527,1432,2042,6066,1497,65,809,961,2,16,1088,1074
01-04-2023,Assam,18,Marigaon,296,353,312,702,117246,0,2021,260,2123,2132,5547,69029,49853,751,68157,872,134161,618,4770,1447,2223,8567,1574,127,4647,5085,5,82,3235,2944
